id,firstname,lastname,birth,nba,height,weight,college,affiliation,leagues
277,Tyler,Johnson,"{'date': '1992-05-07', 'country': 'USA'}","{'start': 2014, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Fresno State,Fresno State/USA,"{'standard': {'jersey': 28, 'active': False, 'pos': None}}"
2663,Greg,Whittington,"{'date': '1993-02-07', 'country': 'USA'}","{'start': 2020, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Georgetown,Georgetown /USA,"{'standard': {'jersey': 3, 'active': False, 'pos': None}}"
275,Joe,Johnson,"{'date': '1981-06-29', 'country': 'USA'}","{'start': 2001, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Arkansas,Arkansas/USA,"{'standard': {'jersey': 55, 'active': False, 'pos': None}}"
14,Chris,Andersen,"{'date': '1978-07-07', 'country': 'USA'}","{'start': 2001, 'pro': 13}","{'feets': '6', 'inches': '10', 'meters': '2.08'}","{'pounds': '245', 'kilograms': '111.1'}",Blinn,,"{'standard': {'jersey': None, 'active': False, 'pos': 'F-C'}}"
500,Amar'e,Stoudemire,"{'date': '1982-11-16', 'country': 'USA'}","{'start': 2002, 'pro': 13}","{'feets': '6', 'inches': '10', 'meters': '2.08'}","{'pounds': '245', 'kilograms': '111.1'}",Cypress Creek (FL),,"{'standard': {'jersey': 5, 'active': False, 'pos': 'F-C'}}"
67,Chris,Bosh,"{'date': '1984-03-24', 'country': 'USA'}","{'start': 2003, 'pro': 13}","{'feets': '6', 'inches': '11', 'meters': '2.11'}","{'pounds': '235', 'kilograms': '106.6'}",Georgia Tech,Georgia Tech/USA,"{'standard': {'jersey': 1, 'active': False, 'pos': 'F'}}"
536,Dwyane,Wade,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 3, 'active': True, 'pos': 'G'}}"
225,Udonis,Haslem,"{'date': '1980-06-09', 'country': 'USA'}","{'start': 2003, 'pro': 18}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '235', 'kilograms': '106.6'}",Florida,Florida/USA,"{'standard': {'jersey': 40, 'active': True, 'pos': 'F'}}"
135,Luol,Deng,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 9, 'active': False, 'pos': None}, 'africa': {'jersey': 9, 'active': True, 'pos': 'F'}}"
565,Dorell,Wright,"{'date': '1985-12-02', 'country': 'USA'}","{'start': 2004, 'pro': 11}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '205', 'kilograms': '93.0'}",South Kent Prep (CT),,"{'standard': {'jersey': 11, 'active': False, 'pos': 'F-G'}}"
523,Beno,Udrih,"{'date': '1982-07-05', 'country': 'Slovenia'}","{'start': 2004, 'pro': 12}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '205', 'kilograms': '93.0'}","Sempeter, Slovenia",Breil Milano/Slovenia,"{'standard': {'jersey': 19, 'active': False, 'pos': 'G'}}"
558,Justise,Winslow,"{'date': '1996-03-26', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '222', 'kilograms': '100.7'}",Duke,Duke/USA,"{'standard': {'jersey': 26, 'active': True, 'pos': 'F-G'}}"
446,Josh,Richardson,"{'date': '1993-09-15', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '200', 'kilograms': '90.7'}",Tennessee,Tennessee/USA,"{'standard': {'jersey': 7, 'active': True, 'pos': 'G'}}"
370,Luis,Montero,"{'date': '1993-04-06', 'country': 'Dominican Republic'}","{'start': 2015, 'pro': 0}","{'feets': '6', 'inches': '7', 'meters': '2.01'}","{'pounds': '185', 'kilograms': '83.9'}",Westchester CC NY,,"{'standard': {'jersey': 44, 'active': False, 'pos': 'G'}}"
542,Briante,Weber,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 11, 'active': False, 'pos': None}}"
606,Stefan,Jankovic,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 29, 'active': False, 'pos': None}}"
610,Okaro,White,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 9, 'active': False, 'pos': None}, 'vegas': {'jersey': 9, 'active': True, 'pos': 'F'}}"
620,Marcus,Georges-Hunt,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 30, 'active': False, 'pos': None}, 'vegas': {'jersey': 30, 'active': True, 'pos': 'G'}}"
634,Vashil,Fernandez,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 14, 'active': False, 'pos': None}}"
357,Josh,McRoberts,"{'date': '1987-02-28', 'country': 'USA'}","{'start': 2007, 'pro': 9}","{'feets': '6', 'inches': '10', 'meters': '2.08'}","{'pounds': '240', 'kilograms': '108.9'}",Duke,Duke/USA,"{'standard': {'jersey': 4, 'active': False, 'pos': 'F'}}"
146,Goran,Dragic,"{'date': '1986-05-06', 'country': 'Slovenia'}","{'start': 2008, 'pro': 13}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '190', 'kilograms': '86.2'}",Union Olimpija,Union Olimpija/Slovenia,"{'standard': {'jersey': 7, 'active': True, 'pos': 'G'}}"
274,James,Johnson,"{'date': '1987-02-20', 'country': 'USA'}","{'start': 2009, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Wake Forest,Wake Forest/USA,"{'standard': {'jersey': 16, 'active': True, 'pos': 'F'}}"
157,Wayne,Ellington,"{'date': '1987-11-29', 'country': 'USA'}","{'start': 2009, 'pro': 12}","{'feets': '6', 'inches': '4', 'meters': '1.93'}","{'pounds': '207', 'kilograms': '93.9'}",North Carolina,North Carolina/USA,"{'standard': {'jersey': 2, 'active': True, 'pos': 'G'}}"
30,Luke,Babbitt,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 22, 'active': True, 'pos': 'F'}}"
546,Hassan,Whiteside,"{'date': '1989-06-13', 'country': 'USA'}","{'start': 2010, 'pro': 9}","{'feets': '7', 'inches': '0', 'meters': '2.13'}","{'pounds': '265', 'kilograms': '120.2'}",Marshall,Marshall/USA,"{'standard': {'jersey': 21, 'active': True, 'pos': 'C'}, 'africa': {'jersey': 21, 'active': True, 'pos': 'C'}}"
552,Derrick,Williams,"{'date': '1991-05-25', 'country': 'USA'}","{'start': 2011, 'pro': 5}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '240', 'kilograms': '108.9'}",Arizona,Arizona/USA,"{'standard': {'jersey': 3, 'active': False, 'pos': 'F'}}"
687,Keith,Benson,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 34, 'active': False, 'pos': None}}"
537,Dion,Waiters,"{'date': '1991-12-10', 'country': 'USA'}","{'start': 2012, 'pro': 8}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '210', 'kilograms': '95.3'}",Syracuse,Syracuse/USA,"{'standard': {'jersey': 18, 'active': True, 'pos': 'G'}}"
445,Willie,Reed,"{'date': '1990-05-16', 'country': 'USA'}","{'start': 2015, 'pro': 1}","{'feets': '6', 'inches': '11', 'meters': '2.11'}","{'pounds': '245', 'kilograms': '111.1'}",Saint Louis,St. Louis/USA,"{'standard': {'jersey': 35, 'active': False, 'pos': 'F-C'}, 'utah': {'jersey': 36, 'active': True, 'pos': 'F-C'}, 'vegas': {'jersey': 36, 'active': True, 'pos': 'C'}}"
354,Rodney,McGruder,"{'date': '1991-07-29', 'country': 'USA'}","{'start': 2016, 'pro': 5}","{'feets': '6', 'inches': '4', 'meters': '1.93'}","{'pounds': '205', 'kilograms': '93.0'}",Kansas State,Kansas State/USA,"{'standard': {'jersey': 17, 'active': True, 'pos': 'G'}}"
277,Tyler,Johnson,"{'date': '1992-05-07', 'country': 'USA'}","{'start': 2014, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Fresno State,Fresno State/USA,"{'standard': {'jersey': 28, 'active': False, 'pos': None}}"
67,Chris,Bosh,"{'date': '1984-03-24', 'country': 'USA'}","{'start': 2003, 'pro': 13}","{'feets': '6', 'inches': '11', 'meters': '2.11'}","{'pounds': '235', 'kilograms': '106.6'}",Georgia Tech,Georgia Tech/USA,"{'standard': {'jersey': 1, 'active': False, 'pos': 'F'}}"
225,Udonis,Haslem,"{'date': '1980-06-09', 'country': 'USA'}","{'start': 2003, 'pro': 18}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '235', 'kilograms': '106.6'}",Florida,Florida/USA,"{'standard': {'jersey': 40, 'active': True, 'pos': 'F'}}"
523,Beno,Udrih,"{'date': '1982-07-05', 'country': 'Slovenia'}","{'start': 2004, 'pro': 12}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '205', 'kilograms': '93.0'}","Sempeter, Slovenia",Breil Milano/Slovenia,"{'standard': {'jersey': 19, 'active': False, 'pos': 'G'}}"
558,Justise,Winslow,"{'date': '1996-03-26', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '222', 'kilograms': '100.7'}",Duke,Duke/USA,"{'standard': {'jersey': 26, 'active': True, 'pos': 'F-G'}}"
360,Jordan,Mickey,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 25, 'active': True, 'pos': 'F'}}"
446,Josh,Richardson,"{'date': '1993-09-15', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '200', 'kilograms': '90.7'}",Tennessee,Tennessee/USA,"{'standard': {'jersey': 7, 'active': True, 'pos': 'G'}}"
213,AJ,Hammons,"{'date': '1992-08-27', 'country': 'USA'}","{'start': 2016, 'pro': 0}","{'feets': '7', 'inches': '0', 'meters': '2.13'}","{'pounds': '260', 'kilograms': '117.9'}",Purdue,Purdue/USA,"{'standard': {'jersey': 20, 'active': False, 'pos': 'C'}}"
610,Okaro,White,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 9, 'active': False, 'pos': None}, 'vegas': {'jersey': 9, 'active': True, 'pos': 'F'}}"
283,Derrick,Jones Jr.,"{'date': '1997-02-15', 'country': 'USA'}","{'start': 2016, 'pro': 5}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '210', 'kilograms': '95.3'}",UNLV,UNLV/USA,"{'standard': {'jersey': 5, 'active': True, 'pos': 'F'}, 'sacramento': {'jersey': 5, 'active': True, 'pos': 'F-G'}, 'vegas': {'jersey': 5, 'active': True, 'pos': 'F-G'}}"
724,Bam,Adebayo,"{'date': '1997-07-18', 'country': 'USA'}","{'start': 2017, 'pro': 4}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '255', 'kilograms': '115.7'}",Kentucky,Kentucky/USA,"{'standard': {'jersey': 13, 'active': True, 'pos': 'C-F'}, 'sacramento': {'jersey': 13, 'active': True, 'pos': 'C-F'}, 'vegas': {'jersey': 13, 'active': True, 'pos': 'C-F'}}"
1684,Matt,Williams Jr.,"{'date': '1993-10-14', 'country': 'USA'}","{'start': 2017, 'pro': 1}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '210', 'kilograms': '95.3'}",Central Florida,Central Florida/USA,"{'vegas': {'jersey': 12, 'active': True, 'pos': 'G'}}"
894,Derrick,Walton Jr.,"{'date': '1995-04-03', 'country': 'USA'}","{'start': 2017, 'pro': 2}","{'feets': '6', 'inches': '0', 'meters': '1.83'}","{'pounds': '185', 'kilograms': '83.9'}",Michigan,Michigan/USA,"{'standard': {'jersey': 10, 'active': True, 'pos': 'G'}, 'sacramento': {'jersey': 18, 'active': True, 'pos': 'G'}, 'vegas': {'jersey': 26, 'active': True, 'pos': 'G'}}"
834,Erik,McCree,"{'date': '1993-12-20', 'country': 'USA'}","{'start': 2017, 'pro': 1}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '225', 'kilograms': '102.1'}",Louisiana Tech,Louisiana Tech/USA,"{'standard': {'jersey': 21, 'active': True, 'pos': 'F'}, 'utah': {'jersey': 21, 'active': True, 'pos': 'F'}, 'vegas': {'jersey': 48, 'active': True, 'pos': 'F'}}"
146,Goran,Dragic,"{'date': '1986-05-06', 'country': 'Slovenia'}","{'start': 2008, 'pro': 13}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '190', 'kilograms': '86.2'}",Union Olimpija,Union Olimpija/Slovenia,"{'standard': {'jersey': 7, 'active': True, 'pos': 'G'}}"
274,James,Johnson,"{'date': '1987-02-20', 'country': 'USA'}","{'start': 2009, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Wake Forest,Wake Forest/USA,"{'standard': {'jersey': 16, 'active': True, 'pos': 'F'}}"
157,Wayne,Ellington,"{'date': '1987-11-29', 'country': 'USA'}","{'start': 2009, 'pro': 12}","{'feets': '6', 'inches': '4', 'meters': '1.93'}","{'pounds': '207', 'kilograms': '93.9'}",North Carolina,North Carolina/USA,"{'standard': {'jersey': 2, 'active': True, 'pos': 'G'}}"
30,Luke,Babbitt,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 22, 'active': True, 'pos': 'F'}}"
546,Hassan,Whiteside,"{'date': '1989-06-13', 'country': 'USA'}","{'start': 2010, 'pro': 9}","{'feets': '7', 'inches': '0', 'meters': '2.13'}","{'pounds': '265', 'kilograms': '120.2'}",Marshall,Marshall/USA,"{'standard': {'jersey': 21, 'active': True, 'pos': 'C'}, 'africa': {'jersey': 21, 'active': True, 'pos': 'C'}}"
318,DeAndre,Liggins,"{'date': '1988-03-31', 'country': 'USA'}","{'start': 2011, 'pro': 5}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '209', 'kilograms': '94.8'}",Kentucky,Kentucky/USA,"{'standard': {'jersey': 18, 'active': False, 'pos': None}}"
537,Dion,Waiters,"{'date': '1991-12-10', 'country': 'USA'}","{'start': 2012, 'pro': 8}","{'feets': '6', 'inches': '3', 'meters': '1.9'}","{'pounds': '210', 'kilograms': '95.3'}",Syracuse,Syracuse/USA,"{'standard': {'jersey': 18, 'active': True, 'pos': 'G'}}"
404,Kelly,Olynyk,"{'date': '1991-04-19', 'country': 'Canada'}","{'start': 2013, 'pro': 8}","{'feets': '6', 'inches': '11', 'meters': '2.11'}","{'pounds': '240', 'kilograms': '108.9'}",Gonzaga,Gonzaga/Canada,"{'standard': {'jersey': 41, 'active': True, 'pos': 'F-C'}}"
771,Larry,Drew II,"{'date': '1990-03-05', 'country': 'USA'}","{'start': 2014, 'pro': 2}","{'feets': '6', 'inches': '2', 'meters': '1.88'}","{'pounds': '180', 'kilograms': '81.6'}",UCLA,UCLA/USA,"{'standard': {'jersey': 1, 'active': True, 'pos': 'G'}, 'vegas': {'jersey': 12, 'active': True, 'pos': 'G'}}"
354,Rodney,McGruder,"{'date': '1991-07-29', 'country': 'USA'}","{'start': 2016, 'pro': 5}","{'feets': '6', 'inches': '4', 'meters': '1.93'}","{'pounds': '205', 'kilograms': '93.0'}",Kansas State,Kansas State/USA,"{'standard': {'jersey': 17, 'active': True, 'pos': 'G'}}"
1012,Norvel,Pelle,"{'date': '1993-02-03', 'country': 'USA'}","{'start': 2019, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Iona,Iona/USA,"{'standard': {'jersey': 5, 'active': False, 'pos': None}, 'vegas': {'jersey': 14, 'active': True, 'pos': 'C'}}"
277,Tyler,Johnson,"{'date': '1992-05-07', 'country': 'USA'}","{'start': 2014, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",Fresno State,Fresno State/USA,"{'standard': {'jersey': 28, 'active': False, 'pos': None}}"
536,Dwyane,Wade,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 3, 'active': True, 'pos': 'G'}}"
225,Udonis,Haslem,"{'date': '1980-06-09', 'country': 'USA'}","{'start': 2003, 'pro': 18}","{'feets': '6', 'inches': '8', 'meters': '2.03'}","{'pounds': '235', 'kilograms': '106.6'}",Florida,Florida/USA,"{'standard': {'jersey': 40, 'active': True, 'pos': 'F'}}"
558,Justise,Winslow,"{'date': '1996-03-26', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '222', 'kilograms': '100.7'}",Duke,Duke/USA,"{'standard': {'jersey': 26, 'active': True, 'pos': 'F-G'}}"
531,Rashad,Vaughn,"{'date': '1996-08-16', 'country': 'USA'}","{'start': 2015, 'pro': 3}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '210', 'kilograms': '95.3'}",UNLV,Nevada-Las Vegas/USA,"{'standard': {'jersey': 20, 'active': True, 'pos': 'G'}, 'sacramento': {'jersey': 65, 'active': True, 'pos': 'G'}, 'vegas': {'jersey': 63, 'active': True, 'pos': 'G-F'}}"
446,Josh,Richardson,"{'date': '1993-09-15', 'country': 'USA'}","{'start': 2015, 'pro': 6}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '200', 'kilograms': '90.7'}",Tennessee,Tennessee/USA,"{'standard': {'jersey': 7, 'active': True, 'pos': 'G'}}"
1209,Jarrod,Jones,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'sacramento': {'jersey': 63, 'active': True, 'pos': 'F-C'}, 'vegas': {'jersey': 63, 'active': True, 'pos': 'F-C'}}"
542,Briante,Weber,"{'date': None, 'country': None}","{'start': 0, 'pro': 0}","{'feets': None, 'inches': None, 'meters': None}","{'pounds': None, 'kilograms': None}",,,"{'standard': {'jersey': 11, 'active': False, 'pos': None}}"
283,Derrick,Jones Jr.,"{'date': '1997-02-15', 'country': 'USA'}","{'start': 2016, 'pro': 5}","{'feets': '6', 'inches': '6', 'meters': '1.98'}","{'pounds': '210', 'kilograms': '95.3'}",UNLV,UNLV/USA,"{'standard': {'jersey': 5, 'active': True, 'pos': 'F'}, 'sacramento': {'jersey': 5, 'active': True, 'pos': 'F-G'}, 'vegas': {'jersey': 5, 'active': True, 'pos': 'F-G'}}"
1221,Ike,Nwamu,"{'date': '1993-06-03', 'country': 'USA'}","{'start': 0, 'pro': 0}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '210', 'kilograms': '95.3'}",UNLV,UNLV/USA,"{'sacramento': {'jersey': 51, 'active': True, 'pos': 'G'}, 'vegas': {'jersey': 51, 'active': True, 'pos': 'G'}}"
724,Bam,Adebayo,"{'date': '1997-07-18', 'country': 'USA'}","{'start': 2017, 'pro': 4}","{'feets': '6', 'inches': '9', 'meters': '2.06'}","{'pounds': '255', 'kilograms': '115.7'}",Kentucky,Kentucky/USA,"{'standard': {'jersey': 13, 'active': True, 'pos': 'C-F'}, 'sacramento': {'jersey': 13, 'active': True, 'pos': 'C-F'}, 'vegas': {'jersey': 13, 'active': True, 'pos': 'C-F'}}"
763,Charles,Cooke,"{'date': '1994-07-01', 'country': 'USA'}","{'start': 2017, 'pro': 1}","{'feets': '6', 'inches': '5', 'meters': '1.96'}","{'pounds': '196', 'kilograms': '88.9'}",Dayton,Dayton/USA,"{'standard': {'jersey': 4, 'active': True, 'pos': 'G'}, 'vegas': {'jersey': 54, 'active': True, 'pos': 'G'}, 'sacramento': {'jersey': 54, 'active': True, 'pos': 'G'}}"
